Time;Position;Rotation.X;Rotation.Y;FPS;Input;Position.x;Position.y;Position.z;distance;cumulative_distance;angle_diff
66213.7416;(-0.7739, 4.0000, 0.4728);189.6329;20.1672;31.9238;;-0.7739;4;0.4728;0.000707106781186525;5.23750391822396;-9.03739999999999
66213.7466;(-0.7740, 4.0000, 0.4721);189.6329;20.1672;31.9238;;-0.774;4;0.4721;0.000300000000000022;5.23780391822396;0
66213.7725;(-0.7740, 4.0000, 0.4718);176.3121;19.2641;32.0683;;-0.774;4;0.4718;0.000900000000000012;5.23870391822396;-13.3208
66213.8085;(-0.7740, 4.0000, 0.4709);157.0435;19.3958;32.1062;;-0.774;4;0.4709;0.000761577310586358;5.23946549553454;-19.2686
66213.8426;(-0.7737, 4.0000, 0.4702);136.739;21.4701;31.6421;;-0.7737;4;0.4702;0.000848528137423881;5.24031402367197;-20.3045
66213.8779;(-0.7731, 4.0000, 0.4696);129.7516;22.1776;31.3513;;-0.7731;4;0.4696;0.000565685424949215;5.24087970909692;-6.98740000000001
66213.914;(-0.7727, 4.0000, 0.4692);127.0452;22.4484;31.0142;;-0.7727;4;0.4692;0.00058309518948459;5.2414628042864;-2.7064
66213.9506;(-0.7722, 4.0000, 0.4689);126.04;22.5477;30.6439;;-0.7722;4;0.4689;0.000282842712474588;5.24174564699888;-1.0052
66213.9847;(-0.7720, 4.0000, 0.4687);125.6867;22.5821;30.2992;;-0.772;4;0.4687;0.000500000000000067;5.24224564699888;-0.35329999999999
66214.0209;(-0.7716, 4.0000, 0.4684);125.5712;22.5933;30.175;;-0.7716;4;0.4684;0.000223606797749954;5.24246925379663;-0.115499999999997
66214.0553;(-0.7714, 4.0000, 0.4683);125.5261;22.5976;29.9883;;-0.7714;4;0.4683;0.000282842712474588;5.2427520965091;-0.0450999999999908
66214.0869;(-0.7712, 4.0000, 0.4681);119.8843;22.4082;29.8305;;-0.7712;4;0.4681;0.000223606797749954;5.24297570330685;-5.64179999999999
66214.1185;(-0.7710, 4.0000, 0.4680);107.6115;22.1732;29.9914;;-0.771;4;0.468;9.9999999999989e-05;5.24307570330685;-12.2728
66214.1524;(-0.7709, 4.0000, 0.4680);89.6971;22.0731;30.1252;;-0.7709;4;0.468;0.000199999999999978;5.24327570330685;-17.9144
66214.1848;(-0.7707, 4.0000, 0.4680);73.0082;22.5749;30.1022;;-0.7707;4;0.468;0.0001000000000001;5.24337570330685;-16.6889
66214.2214;(-0.7706, 4.0000, 0.4680);66.5605;22.7669;30.1643;;-0.7706;4;0.468;0.000141421356237294;5.24351712466309;-6.4477
66214.227;(-0.7705, 4.0000, 0.4681);66.5605;22.7669;30.1643;;-0.7705;4;0.4681;0;5.24351712466309;0
66214.2545;(-0.7705, 4.0000, 0.4681);63.5446;22.8555;29.8414;;-0.7705;4;0.4681;9.9999999999989e-05;5.24361712466309;-3.01589999999999
66214.2887;(-0.7704, 4.0000, 0.4681);62.6367;22.8819;29.9177;;-0.7704;4;0.4681;0;5.24361712466309;-0.907900000000012
66214.3238;(-0.7704, 4.0000, 0.4681);62.2398;22.8933;29.8104;;-0.7704;4;0.4681;0.000141421356237294;5.24375854601933;-0.396899999999988
66214.3585;(-0.7703, 4.0000, 0.4682);62.0882;22.8975;29.6713;;-0.7703;4;0.4682;0;5.24375854601933;-0.151600000000002
66214.3921;(-0.7703, 4.0000, 0.4682);62.0334;22.8991;29.5992;;-0.7703;4;0.4682;9.9999999999989e-05;5.24385854601933;-0.0548000000000002
66214.4252;(-0.7702, 4.0000, 0.4682);62.0133;22.8996;29.6247;;-0.7702;4;0.4682;0;5.24385854601933;-0.0201000000000136
66214.4568;(-0.7702, 4.0000, 0.4682);60.4972;22.6567;29.6459;;-0.7702;4;0.4682;0;5.24385854601933;-1.51609999999999
66214.4889;(-0.7702, 4.0000, 0.4682);49.0955;20.6939;29.8565;;-0.7702;4;0.4682;0;5.24385854601933;-11.4017
66214.5208;(-0.7702, 4.0000, 0.4682);34.666;19.0022;29.9621;;-0.7702;4;0.4682;0.000141421356237294;5.24399996737556;-14.4295
66214.5534;(-0.7701, 4.0000, 0.4683);22.1921;18.5443;30.1281;;-0.7701;4;0.4683;0;5.24399996737556;-12.4739
66214.5903;(-0.7701, 4.0000, 0.4683);16.5913;18.3401;30.1657;;-0.7701;4;0.4683;0;5.24399996737556;-5.60079999999999
66214.6266;(-0.7701, 4.0000, 0.4683);14.0205;18.2472;29.8459;;-0.7701;4;0.4683;0;5.24399996737556;-2.57079999999999
66214.6609;(-0.7701, 4.0000, 0.4683);13.153;18.216;29.5818;;-0.7701;4;0.4683;0;5.24399996737556;-0.867500000000007
66214.6961;(-0.7701, 4.0000, 0.4683);12.8739;18.2061;29.5451;;-0.7701;4;0.4683;0;5.24399996737556;-0.2791
66214.7317;(-0.7701, 4.0000, 0.4683);12.7638;18.2022;29.429;;-0.7701;4;0.4683;0;5.24399996737556;-0.110099999999989
66214.7646;(-0.7701, 4.0000, 0.4683);12.7226;18.2008;29.2664;;-0.7701;4;0.4683;0;5.24399996737556;-0.0412000000000035
66214.7951;(-0.7701, 4.0000, 0.4683);12.7093;18.2003;29.3966;;-0.7701;4;0.4683;9.9999999999989e-05;5.24409996737556;-0.0132999999999868
66214.8257;(-0.7701, 4.0000, 0.4684);10.3829;17.9779;29.6856;;-0.7701;4;0.4684;0;5.24409996737556;-2.32640000000001
66214.857;(-0.7701, 4.0000, 0.4684);359.5433;17.2195;29.9751;;-0.7701;4;0.4684;0;5.24409996737556;-10.8396
66214.8876;(-0.7701, 4.0000, 0.4684);346.3043;16.5928;30.1918;;-0.7701;4;0.4684;0;5.24409996737556;-13.239
66214.9221;(-0.7701, 4.0000, 0.4684);332.4717;16.7093;30.3778;;-0.7701;4;0.4684;0;5.24409996737556;-13.8326
66214.9578;(-0.7701, 4.0000, 0.4684);325.7655;16.7655;30.2541;;-0.7701;4;0.4684;0;5.24409996737556;-6.70620000000002
66214.9949;(-0.7701, 4.0000, 0.4684);323.0781;16.7878;30.0011;;-0.7701;4;0.4684;0;5.24409996737556;-2.68739999999997
66215.0315;(-0.7701, 4.0000, 0.4684);322.1041;16.7959;29.7091;;-0.7701;4;0.4684;0;5.24409996737556;-0.97399999999999
